customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-08-02,active,3918
CUST0002,customer2@example.com,Customer 2,2024-09-23,active,894
CUST0003,customer3@example.com,Customer 3,2024-11-12,active,464
CUST0004,customer4@example.com,Customer 4,2024-01-06,active,1813
CUST0005,customer5@example.com,Customer 5,2024-09-17,active,408
CUST0006,customer6@example.com,Customer 6,2024-12-01,active,3228
CUST0007,customer7@example.com,Customer 7,2024-06-26,active,723
CUST0008,customer8@example.com,Customer 8,2024-03-01,active,2866
CUST0009,customer9@example.com,Customer 9,2024-08-24,active,1002
CUST0010,customer10@example.com,Customer 10,2024-01-09,active,1896
CUST0011,customer11@example.com,Customer 11,2024-11-17,active,4334
CUST0012,customer12@example.com,Customer 12,2024-01-23,active,3864
CUST0013,customer13@example.com,Customer 13,2024-02-20,active,2039
CUST0014,customer14@example.com,Customer 14,2024-01-25,active,2784
CUST0015,customer15@example.com,Customer 15,2024-03-22,active,1543
CUST0016,customer16@example.com,Customer 16,2024-10-11,active,1957
CUST0017,customer17@example.com,Customer 17,2024-12-01,active,618
CUST0018,customer18@example.com,Customer 18,2024-11-03,inactive,1032
CUST0019,customer19@example.com,Customer 19,2024-02-20,active,157
CUST0020,customer20@example.com,Customer 20,2024-01-28,active,455
CUST0021,customer21@example.com,Customer 21,2024-07-25,active,4346
CUST0022,customer22@example.com,Customer 22,2024-09-13,active,2292
CUST0023,customer23@example.com,Customer 23,2024-12-20,active,3718
CUST0024,customer24@example.com,Customer 24,2024-08-11,active,3438
CUST0025,customer25@example.com,Customer 25,2024-09-06,active,435
CUST0026,customer26@example.com,Customer 26,2024-12-14,active,3524
CUST0027,customer27@example.com,Customer 27,2024-02-06,active,4092
CUST0028,customer28@example.com,Customer 28,2024-01-11,inactive,2626
CUST0029,customer29@example.com,Customer 29,2024-07-26,active,1653
CUST0030,customer30@example.com,Customer 30,2024-08-12,active,1898
CUST0031,customer31@example.com,Customer 31,2024-07-04,active,557
CUST0032,customer32@example.com,Customer 32,2024-07-08,inactive,2899
CUST0033,customer33@example.com,Customer 33,2024-08-21,active,2082
CUST0034,customer34@example.com,Customer 34,2024-06-08,active,2538
CUST0035,customer35@example.com,Customer 35,2024-05-18,active,3191
CUST0036,customer36@example.com,Customer 36,2024-05-04,active,3990
CUST0037,customer37@example.com,Customer 37,2024-10-25,active,140
CUST0038,customer38@example.com,Customer 38,2024-08-12,active,3131
CUST0039,customer39@example.com,Customer 39,2024-01-12,inactive,4327
CUST0040,customer40@example.com,Customer 40,2024-03-07,active,1116
CUST0041,customer41@example.com,Customer 41,2024-03-07,active,3800
CUST0042,customer42@example.com,Customer 42,2024-06-07,active,3550
CUST0043,customer43@example.com,Customer 43,2024-01-22,active,2982
CUST0044,customer44@example.com,Customer 44,2024-01-26,inactive,1490
CUST0045,customer45@example.com,Customer 45,2024-04-07,active,1961
CUST0046,customer46@example.com,Customer 46,2024-03-25,active,4468
CUST0047,customer47@example.com,Customer 47,2024-06-13,active,3502
CUST0048,customer48@example.com,Customer 48,2024-04-18,inactive,1490
CUST0049,customer49@example.com,Customer 49,2024-03-13,active,3671
CUST0050,customer50@example.com,Customer 50,2024-09-14,inactive,255
